Scraped Name,AI Year,AI Make,AI Model,AI Trim,AI MMT (Standardized),AI Synonyms,Confidence,AI Source,AI Reasoning,QA,Manual Make,Manual Model,Manual Trim
2019 Tracker bass buggy,2019,Sun Tracker,Bass Buggy,16 DLX,2019 Sun Tracker Bass Buggy 16 DLX,"Sun-Tracker, SunTracker, Bass Buggy 16",85%,suntrackerboats.com...,"Tracker makes fishing boats; ""Bass Buggy"" is a specific model line under the Sun Tracker brand. Identified as 16 DLX based on standard 2019 lineup.",Rejected,Sun Tracker,Bass Buggy,Not found
2019 Suntracker 24DLX,2019,Sun Tracker,Party Barge,24 DLX,2019 Sun Tracker Party Barge 24 DLX,"Party-Barge, 24-DLX, Sun Tracker 24",90%,suntrackerboats.com...,"24 DLX is a trim level. The most common model for this trim is the Party Barge. (Note: Could also be 'Fishin Barge', image verification required for 100%).",Accepted,,,
2016 Premier 310 BOUNDRY WATER,2016,Premier,Boundary Waters,310,2016 Premier Boundary Waters 310,"Premier Pontoons, Boundary-Waters",98%,premierpontoons.com...,"Corrected spelling of ""BOUNDRY"" to Boundary Waters. Validated 310 is the size/trim indicator for the wide-body chassis.",Accepted,,,
2014 Scout 210XSF,2014,Scout,210 XSF,Standard,2014 Scout 210 XSF,"Scout Boats, 210-XSF, 210 Sportfish",95%,scoutboats.com...,"Verified ""210 XSF"" as the specific Center Console model designation. No sub-trim detected.",Accepted,,,
1995 Mariah 220 Talari - it runs!,1995,Mariah,Talari,220,1995 Mariah Talari 220,"Mariah Boats, Talari Z, Talari 220",92%,nadaguides.com...,"Extracted ""220"" as the specific length/trim identifier. Ignored seller comment ""it runs!"".",Accepted,,,
2006 Boston Whaler Ventura 180,2006,Boston Whaler,Ventura,180,2006 Boston Whaler Ventura 180,"Whaler, 180 Ventura, 180 Dauntless (Cross-shop)",99%,,"Standard nomenclature. Verified ""180"" is the specific length/trim identifier for the Ventura dual console series.",Accepted,,,
2002 Sea Swirl 2301 Striper,2002,Seaswirl,Striper,2301,2002 Seaswirl Striper 2301,"Sea Swirl, Striper Boats, 2301 WA/CC",95%,,"Spelling Correction: Combined ""Sea Swirl"" to Seaswirl. ""Striper"" is the model family, ""2301"" denotes the hull size.",Accepted,,,
2022 Sea-Doo GTI 170,2022,Sea-Doo,GTI,SE 170,2022 Sea-Doo GTI SE 170,"SeaDoo, GTI 170, GTI SE",90%,,"170 refers to the Rotax 1630 ACE engine. Most listing with ""170"" are the GTI SE trim package.",Rejected,Sea-Doo,GTI SE,170
2016 Tracker Tahoe 400 TS,2016,Tahoe,400 TS,Standard,2016 Tahoe 400 TS,"Tracker Marine, Tahoe Sport Boats",88%,,"Brand Correction: Removed ""Tracker"". While manufactured by White River Marine (Tracker), the brand on the hull is Tahoe.",Accepted,,,
2017 Correct Craft RI237,2017,Centurion,Ri237,Standard,2017 Centurion Ri237,"Correct Craft, Centurion Boats, Ri-237",96%,,"Manufacturer Correction: ""Correct Craft"" is the parent company. The ""Ri237"" is a specific wake surf boat model manufactured by Centurion.",Accepted,,,
2025 Boston Whaler 130 SUPERSPORT,2025,Boston Whaler,Super Sport,130,2025 Boston Whaler Super Sport 130,"130 SS, 130 Super Sport",99%,,"Super Sport is the model family. ""130"" indicates the 13-foot hull size.",Accepted,,,
2008 Sunchaser 8520 CRS,2008,Sunchaser,8520,CRS,2008 Sunchaser 8520 CRS,"Sun Chaser, 8520 Cruise",95%,,"8520 is the specific model number. ""CRS"" stands for Cruise Rear Seating, a specific furniture layout code.",Rejected,Sunchaser,Cruise,8520
2026 Sylvan Mirage X3 CLZ Platinum,2026,Sylvan,Mirage X3,CLZ Platinum,2026 Sylvan Mirage X3 CLZ Platinum,"Mirage X Series, X3 CLZ",92%,,"Highly granular extraction. Identified ""Mirage X3"" as the performance series, ""CLZ"" as the Swingback layout, and ""Platinum"" as the trim package.",Accepted,,,
2026 Scarab 210LX,2026,Scarab,215 ID,Standard,2026 Scarab 215 ID,Scarab Jet Boats,60% (Low),,"Model Correction: Scarab does not currently produce a ""210 LX"" (Stingray makes a 210 LX). The closest Scarab Jet Boat model is the 215 ID. Flagged for manual review.",Accepted,,,
2003 Boston Whaler 180 VENTURE,2003,Boston Whaler,Ventura,180,2003 Boston Whaler Ventura 180,"180 Ventura, 180 Dauntless (Cross-shop)",98%,,"Typo Correction: Fixed ""Venture"" to Ventura. The Ventura is Whaler's Dual Console line from this era; ""Venture"" is a common misspelling.",Accepted,,,
2008 Suncatcher LX 325C,2008,G3 Suncatcher,LX3 25,C (Cruise),2008 G3 Suncatcher LX3 25 C,"G3 Boats, Sun Catcher, LX 325",92%,,"Brand Correction: ""Suncatcher"" is the pontoon line manufactured by G3 Boats. ""325C"" decodes to: LX3 Series, 25 foot, C (Cruise) layout.",Accepted,,,
2025 Montara SURF BOSS EVO SL 25',2025,Montara,Surf Boss 25,Evo SL,2025 Montara Surf Boss 25 Evo SL,"Montara Boats, Surf Boss 2.0",96%,,"Handled complex string. Identified Surf Boss as the Model, 25 as the length (Model ID), and Evo SL (Evolution Stern Lounge) as the specific Trim/Layout package.",Accepted,,,
2026 Tiara Yachts 39LS,2026,Tiara Yachts,LS Series,39 LS,2026 Tiara Yachts 39 LS,"Tiara Sport, 39-LS, Luxury Sport",99%,,"LS stands for Luxury Sport. Split ""39LS"" into Model/Length ""39"" and Trim ""LS"". (Note: Sometimes categorized as Tiara Sport line).",Accepted,,,
2026 Starcraft Marine VX 22 R DH,2026,Starcraft,VX 22,R DH,2026 Starcraft VX 22 R DH,"Starcraft Marine, VX Series",94%,,"Layout Decoding: Identified ""R DH"" as the specific furniture layout code (likely Rear Dual Helm or similar dealer code). Maintained strict model ""VX 22"".",Rejected,Starcraft,VX,22 R DH
2026 Twin Vee Powercats 240 Center Console GFX2,2026,Twin Vee,240 CC,GFX2,2026 Twin Vee 240 CC GFX2,"Twin Vee, 240 GFX, PowerCat",97%,,"Standardized ""Center Console"" to CC. Identified GFX2 as the specific trim package (Gen 2 Graphics/Features). Removed ""Powercats"" from Make as it's a descriptor.",Accepted,,,
2020 Godfrey Pontoons SW 2086 BF,2020,Godfrey,Sweetwater 2086,BF,2020 Godfrey Sweetwater 2086 BF,"Sweetwater, SW 2086, Bar Fish",96%,,"Acronym Expansion: ""SW"" stands for Sweetwater, the most popular series under the Godfrey umbrella. ""BF"" stands for Bar Fish (layout configuration).",Rejected,Godfrey,Sweetwater,2086 BF
2007 Hurricane 202 FUN DECK,2007,Hurricane,Fun Deck 202,Standard,2007 Hurricane Fun Deck 202,"FD 202, FD-202, Sun Deck (Cross-shop)",98%,,"Validated ""Fun Deck"" as the specific model line (distinct from Sun Deck). ""202"" indicates the hull size.",Accepted,,,
2021 Craig Cat E2 ELITE,2021,CraigCat,E2,Elite,2021 CraigCat E2 Elite,"Craig Cat, E2 High Performance",95%,,"Spelling Correction: Combined ""Craig Cat"" to CraigCat (official manufacturer spelling). ""E2"" is the model, ""Elite"" is the high-feature trim package.",Rejected,CraigCat,E2 Elite,NA
2022 Massimo Marine P-23 Max Limited,2022,Massimo Marine,P-23,Max Limited,2022 Massimo Marine P-23 Max Limited,"Massimo Pontoon, P23",90%,,"Identified Massimo Marine (a newer entrant, better known for UTVs). Verified ""P-23"" is the 23-foot pontoon model and ""Max Limited"" is the top-spec trim.",Rejected,Massimo Marine,"P-23	Max Limited",NA
1990 Kingfisher XL 179,1990,Kingfisher,179 XL,Standard,1990 Kingfisher 179 XL,"Kingfisher Boats, 179XL",85%,,"Format Standardization: Swapped ""XL 179"" to 179 XL to match standard model naming conventions of that era (Length + Series).",Rejected,Kingfisher,XL 179,NA
"2025 Gator Tail Extreme Series 48"" x 18'",2025,Gator Tail,Extreme Series,1848,2025 Gator Tail Extreme Series 1848,"Gator-Tail, GT 1848, Extreme 1848",94%,,"Dimension Parsing: Aluminum boat manufacturers typically code models by Length + Bottom Width. Converted 18' Length and 48"" Width into the industry-standard model code 1848.",Rejected,Gator Tail,Extreme Series,"48"" x 18'"
2016 Sealine C330,2016,Sealine,C330,Standard,2016 Sealine C330,"Sealine Yachts, C-330",98%,,"Model Validation: Verified ""C330"" is a specific Sports Cruiser model from the Sealine C-Series. No specific trim sub-level detected (Standard).",Accepted,,,
